IA.Name,Member.ID,Start.Date,End.Date,IA.ID,IA.Group.1,IA.Group.2,Type,City,Voivodship,Full.Name,Age,Gender,RT.Affiliation,Profession
Warsaw-Ochota Municipal Hospital Department of Internal Medicine,112,1975-07-01,1983-12-31,IA01296,WOMH,DIM,NA,NA,NA,Zofia Kuratowska,57,F,Opposition,Medical Doctor
Letter Signed by 101,113,1976-01-01,1976-01-30,IA00667,LET101,NA,Protest Statement,NA,NA,Jacek Kurczewski,46,M,Opposition,Academic Sociologist
Union of Revolutionary Youth,114,1956-01-01,1957-12-31,IA01267,URY,NA,Opposition Group,NA,NA,Jacek Kuroń,54,M,Opposition,Academic Historian
Seminar on “Poland in Europe”,115,1983-01-01,1989-02-01,IA01162,SEMPIE,NA,NA,NA,NA,Wojciech Lamentowicz,42,M,Opposition,Academic Law
Agricultural Foundation Organizing Committee,116,1984-01-01,1989-02-01,IA00207,AFOC,NA,Opposition Group,NA,NA,Antoni Leopold,72,M,Opposition,Academic Agriculture
Diocesan Assistance Committee Żielona Gora,117,1982-08-08,1989-02-01,IA00375,DACZG,NA,Charitable or Humanitarian Organization,NA,NA,Edward Lipiec,52,M,Opposition,Academic Agronomist
Inter-factory Founding Committee Stalowa Wola,118,1980-09-01,1989-12-31,IA00577,MKZST,NA,Protest Action,NA,NA,Władysław Liwak,46,M,Opposition,Lawyer
KSS-KOR Collaborator,119,1977-09-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Helena Łuczywo,43,F,Opposition,Journalist
Coastal Free Trade Unions Factory Council Elmore,120,1978-01-01,1981-12-31,IA00326,CFTU,FCE,Opposition Group Leadership Body Regional or Local,NA,NA,Bogdan Lis,36,M,Opposition,Worker Electrician
Seminar on Recent Polish History,121,1975-01-01,1977-12-31,IA01161,SEMRPH,NA,Salon,NA,NA,Jan Lityński,43,M,Opposition,Academic Mathematician
Mass for the Fatherland,122,1982-01-01,1986-12-31,IA00708,MFATH,NA,Independent Society,NA,NA,Andrzej Łuszewski,32,M,Opposition,Worker Agriculture
National Committee of Resistance of Farmers,124,1982-10-01,1989-02-01,IA00776,NCROF,NA,Opposition Group Leadership Body National,NA,NA,Edward Małecki,47,M,Opposition,Worker Individual Farmer
National Progressive Club of Catholic Intelligentsia,125,1956-10-01,1957-06-01,IA00782,NPCCI,NA,Independent Society,NA,NA,Tadeusz Mazowiecki,61,M,Opposition,Journalist
“Martwa Natura”,126,1984-01-01,1989-02-01,IA00078,MARN,NA,Periodical,NA,NA,Jan Mazurkiewicz,34,M,Opposition,Worker
Inter-Union Group,127,1983-01-01,1989-02-01,IA00584,IUG,NA,Protest Action,NA,NA,Albin Melcer,46,M,Opposition,Worker Building Engineer
Factory Committee Solidarność Lenin Shipyards Gdańsk,128,1980-09-01,1981-12-31,IA00407,FCLSG,NA,Protest Action,NA,NA,Jacek Merkel,34,M,Opposition,Worker Engineer
March 1968 Student Protests Warsaw,129,1968-02-01,1968-05-01,IA00703,MR68,WAW,Protest Action,NA,NA,Adam Michnik,42,M,Opposition,Academic Historian
Association of Polish Architects,130,1962-01-01,1989-02-01,IA00240,SARP,NA,National Professional Association,NA,NA,Witold Mieszkowski,50,M,Opposition,Academic Architect
Strike Committee Regional Enterprise of Urban Transport in Szczecin,132,1980-08-01,1980-08-31,IA01225,SCREPUTS,NA,Protest Action,NA,NA,Andrzej Milczanowski,49,M,Opposition,Lawyer
NSZZ Solidarność Temporary Workers Council Warsaw Steelworks,133,1981-11-01,1982-12-31,IA00943,NSZZS,TWCWS,Opposition Group Leadership Body Regional or Local,NA,NA,Andrzej Miłkowski,49,M,Opposition,Worker Steelworker
Association of Polish Journalists,134,1975-01-01,1982-12-31,IA00243,SDP,NA,National Professional Association,NA,NA,Jacek Moskwa,40,M,Opposition,Journalist
Institute of Planning Warsaw,135,1974-01-01,1989-02-01,IA00536,IPW,NA,Research Institue,NA,NA,Jan Mujżel,65,M,Opposition,Academic Economics
Factory Committee Solidarność Warsaw University,136,1980-09-01,1989-02-01,IA00424,FCWU,NA,Protest Action,NA,NA,Michał Nawrocki,46,M,Opposition,Academic Physics
Praski Hospital Warsaw Department of Internal Medicine,138,1967-09-01,1989-02-01,IA01093,PHW,DIM,Medical Facility,NA,NA,Róża Nowotna-Walcowa,66,F,Opposition,Medical Doctor
“Pomost”,139,1982-01-01,1989-02-01,IA00107,POMO,NA,Periodical,NA,NA,Edward Olszewski,33,M,Opposition,Worker Robotics
March 1968 Student Protests Warsaw,140,1968-03-01,1968-08-01,IA00703,MR68,WAW,Protest Action,NA,NA,Jan Olszewski,58,M,Opposition,Lawyer
KSS-KOR Collaborator,141,1979-09-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Janusz Onyszkiewicz,51,M,Opposition,Academic Mathematician
NSZZ Individual Farmers “Solidarity” advisor,142,1981-01-01,1981-12-31,IA00790,NSZZIF,AD,Opposition Group Leadership Body National,NA,NA,Walerian Pańko,47,M,Opposition,Academic Law
Association of Polish Journalists,143,1962-01-01,1982-12-31,IA00243,SDP,NA,National Professional Association,NA,NA,Aleksander Paszyński,60,M,Opposition,Journalist
“Czytelnik”,146,1945-05-01,1947-12-31,IA00024,CZYT,NA,Periodical,NA,NA,Edmund Jan Osmańczych,75,M,Opposition,Journalist
Union of Polish Students - ZSP,147,1968-01-01,1973-06-30,IA01264,ZSP,NA,NA,NA,NA,Janusz Pałubicki,41,M,Opposition,Academic Art History
NSZZ Solidarność Member,149,1980-10-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Zygmunt Polański,59,M,Opposition,Academic Economics
NSZZ Solidarność Member,150,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Piotr Polmański,34,M,Opposition,Worker Miner
Association of Polish Artists and Designers,151,1958-01-01,1983-12-31,IA00241,ZPAP,NA,National Professional Association,NA,NA,Jerzy Puciata,55,M,Opposition,Artist
Inter-factory Strike Committee Szczecin Shipyards,152,1980-08-01,1981-12-31,IA00564,MKSS,NA,Protest Action,NA,NA,Edward Radziewicz,41,M,Opposition,Worker Mechanic
NSZZ Solidarność Mazowsze Regional Board Center for Education and Learning,153,1980-09-01,1981-12-31,IA00878,NSZZS,MARBCEL,Opposition Group Leadership Body Regional or Local,NA,NA,Julian Radziewicz,51,M,Opposition,Academic Pedagogy
NSZZ Solidarność Member,154,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Anna Radziwiłł,52,F,Opposition,Academic Historian
NSZZ Solidarność Founding Committee Health Care Group in Gliwice,155,1980-10-01,1981-12-31,IA00826,NSZZS,FCHGG,Opposition Group Leadership Body Regional or Local,NA,NA,Krzysztof Rajpert,55,M,Opposition,Medical Doctor
Council of Ministers Housing Bureau,156,1985-01-01,1989-02-01,IA00356,CM,HB,Government Leadership Body National,NA,NA,Jerzy Regulski,64,M,Opposition,Academic Economist
Member of Parliament,158,1965-05-30,1969-05-30,IA00735,MOP,NA,NA,NA,NA,Ryszard Reiff,65,M,Opposition,Journalist
Inter-factory Coordinating Committee Solidarność in Olkusz,159,1988-01-01,1989-02-01,IA00554,MKSSO,NA,Protest Action,NA,NA,Czesław Robakowski,40,M,Opposition,Worker Miner
Pastoral Care for Farmers,160,1984-07-01,1989-02-01,IA01028,PCFARM,NA,Charitable or Humanitarian Organization,NA,NA,Zbigniew Rokicki,41,M,Opposition,Worker Farmer
KSS-KOR Intervention Committee,162,1976-09-01,1981-09-30,IA00627,KSSKOR,IC,Opposition Group Leadership Body National,NA,NA,Zbigniew Romaszewski,49,M,Opposition,Academic Physics
PZPR member,163,1949-01-01,1980-12-31,IA01113,PZPR,MEM,NA,NA,NA,Jan Rosner,83,M,Opposition,Academic Economics
Polish Tourist and Sightseeing Society,164,1946-01-01,1952-12-31,IA01077,PTTK,NA,National Professional Association,NA,NA,Andrzej Rozmarynowicz,65,M,Opposition,Lawyer
Union of Polish Teachers - ZNP,165,1970-01-01,1979-12-31,IA01265,ZNP,NA,NA,NA,NA,Henryk Rutkowski,59,M,Opposition,Academic Historian
NSZZ Solidarność Founding Committee Gdynia Sea Fisheries Institute,167,1980-09-01,1981-12-31,IA00825,NSZZS,FCGSFI,Opposition Group Leadership Body Regional or Local,NA,NA,Jerzy Salmonowicz,63,M,Opposition,Academic Chemist
Polish Historical Society,168,1977-01-01,1982-12-31,IA01058,PHS,NA,National Professional Association,NA,NA,Henryk Samsonowicz,59,M,Opposition,Academic Historian
Inter-factory Strike Committee Nysa,169,1981-01-01,1981-12-31,IA00563,MKSN,NA,Protest Action,NA,NA,Janusz Sanocki,34,M,Opposition,Worker
Academic Association “Verbum”,171,1988-01-01,1989-02-01,IA00183,AAV,NA,Independent Society,NA,NA,Jarosław Sellin,25,M,Opposition,Academic
Healthcare Complex Downtown Wrocław,172,1976-01-01,1976-12-31,IA00495,HCDW,NA,Medical Facility,Wroclaw,NA,Władysław Sidorowicz,54,M,Opposition,Medical Doctor
Association of Freedom and Independence,173,1946-01-01,1947-04-01,IA00238,WIN,NA,Opposition Group,NA,NA,Władysław Siła-Nowicki,75,M,Government,Lawyer
Center for Civil Legislative Issues Solidarność,174,1981-01-17,1982-01-31,IA00286,CCLIS,NA,Opposition Group Research Center,NA,NA,Jadwiga Skórzewska,46,F,Opposition,Lawyer
PAN Committee on Fundamental Medical Science Sociology Commission,175,1983-01-01,1989-02-01,IA00990,PAN,COFMSSC,Research Institue,NA,NA,Magdalena Sokołowska,66,F,Opposition,Academic
“Impuls”,176,1986-01-01,1989-02-01,IA00059,IMP,NA,Periodical,NA,NA,Andrzej Sosnowski,25,M,Opposition,Student
NSZZ Solidarność Founding Committee of the Workers' Houses of Culture,177,1980-09-01,1981-12-31,IA00851,NSZZS,FCWHC,NA,NA,NA,Grażyna Staniszewska,39,F,Opposition,Academic
NSZZ Solidarność National Executive Commission,178,1987-10-25,1989-02-01,IA00907,NSZZS,KKW,Opposition Group Leadership Body National,NA,NA,Tomasz Stankiewicz,42,M,Opposition,Academic
PAN Institute of Philosophy and Sociology,180,1970-09-01,1989-02-01,IA01014,PAN,IPS,Research Institue,NA,NA,Krystyna Starczewska,51,F,Opposition,Academic
Radawnica Peoples University,181,1970-01-01,1976-12-31,IA01115,RPU,NA,Postsecondary School,NA,NA,Stefan Starczewski,53,M,Opposition,Academic
Social Library,183,1978-09-01,1989-02-01,IA01185,SL,NA,Independent Society,NA,NA,Antoni Stawikowski,55,M,Opposition,Academic
Protest Leader Against Nuclear Power Plant in Klempicz,184,1986-01-01,1989-02-01,IA01106,PLANPP,NA,Protest Action,NA,NA,Kazimierz Stępczak,52,M,Opposition,Academic
March 1968 Student Protests Warsaw,185,1968-03-01,1968-05-30,IA00703,MR68,WAW,Protest Action,NA,NA,Jerzy Stępien,42,M,Opposition,Lawyer
KIK Warsaw,187,1956-10-01,1989-02-01,IA00624,KIK,WAW,Salon,NA,NA,Stanisław Stomma,81,M,Opposition,Academic
Institute of Judicial Legal Research,188,1974-01-01,1981-12-31,IA00532,IJLR,NA,Research Institue,NA,NA,Adam Strzembosz,58,M,Opposition,Lawyer
Andrzej Małkowski Circle of Scouting Instructors,189,1980-01-01,1989-02-01,IA00213,AMCS,NA,Salon,NA,NA,Andrzej Suchocki,35,M,Opposition,Academic
“Studia Logika”,190,1970-01-01,1974-12-31,IA00145,STLO,NA,Periodical,NA,NA,Klemens Szaniawski,63,M,Opposition,Academic
Theater of the Grotesque Kraków,192,1959-01-01,1966-12-31,IA01255,TGKR,NA,Government Agency Regional or Local,NA,NA,Jan Józef Szczepański,70,M,Opposition,Journalist
“Tygodnik Wojenny”,193,1982-01-01,1985-05-26,IA00153,TYWOJ,NA,Periodical,NA,NA,Jarosław Józef Szczepański,38,M,Opposition,Academic
NSZZ Solidarność Temporary Factory Committee Lenin Shipyards Gdańsk,194,1984-01-01,1988-08-31,IA00932,NSZZS,TFCPLSGD,Opposition Group Leadership Body Regional or Local,NA,NA,Edward Szwajkiewicz,34,M,Opposition,Worker Electrician
NSZZ Scientific Technical and Educational Workers,195,1980-09-01,1981-12-13,IA00801,NSZZST,PNTIO,Opposition Group,NA,NA,Jacek Szymanderski,43,M,Opposition,Academic
NSZZ Individual Farmers “Solidarity” National Strike Committee,198,1981-11-01,1981-12-13,IA00792,NSZZIF,NSC,Opposition Group Leadership Body National,NA,NA,Józef ślisz,54,M,Opposition,Worker Farmer
Warsaw University Faculty of Pedagogy,199,1954-09-01,1989-02-01,IA01342,UW,FPED,Postsecondary School,NA,NA,Hanna świlda-Ziemba,58,F,Opposition,Academic
“Tygodnik Mazowsze”,200,1986-01-01,1989-02-01,IA00150,TYMAZ,NA,Periodical,NA,NA,Henryk Tachasiuk,26,M,Opposition,Worker
Prison Care Association Patronat,201,1981-12-13,1989-02-01,IA01102,PCAP,NA,Charitable or Humanitarian Organization,NA,NA,Jacek Taylor,49,M,Opposition,Lawyer
Strike Committee Bicycle Factory Premot Romet Bydgoszcz,202,1980-08-01,1980-10-01,IA01218,SCBFPRB,NA,Protest Action,NA,NA,Antoni Tokarczuk,37,M,Opposition,Academic
Pastoral Care for Catholic Intellectuals,203,1981-01-01,1989-02-01,IA01026,PCKI,NA,Charitable or Humanitarian Organization,NA,NA,Edmund Tołwiński,52,M,Opposition,Academic
Factory Committee Solidarność Institute of Planning Warsaw,204,1980-08-01,1981-12-31,IA00401,FCIPW,NA,Protest Action,NA,NA,Andrzej Topiński,43,M,Opposition,Academic
Central School of Trade Warsaw,205,1956-09-01,1960-08-30,IA00303,SGH,NA,Postsecondary School,NA,NA,Witold Trzeciakowski,62,M,Opposition,Academic
“Tygodnik Powszeczny”,206,1956-10-01,1989-02-01,IA00151,TYPOW,NA,NA,NA,NA,Jerzy Turowicz,86,M,Opposition,Journalist
Medical Academy Gdańsk Institute of Internal Medicine,207,1970-07-01,1985-12-31,IA00717,MEDAG,IIM,Postsecondary School,NA,NA,Jerzy Umiastowski,56,M,Opposition,Medical Doctor
Interned Jastrzębie,208,1981-12-13,1982-03-23,IA00550,INT,JAST,Protest Action,NA,NA,Henryk Urban,37,M,Opposition,Worker
“Robotnik”,209,1978-07-01,1978-12-31,IA00126,ROBO,NA,Periodical,NA,NA,Lech Wałęsa,45,M,Opposition,Worker
PZPR Central Committee Womens Department,210,1948-01-01,1953-12-31,IA01112,PZPRCC,WD,Communist Party Leadership Body National,NA,NA,Zofia Wasikowska,78,F,Opposition,Lawyer
NSZZ Solidarność Member,211,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Jerzy Wertenstein-Żuławski,41,M,Opposition,Academic
Interned Białołęka,213,1982-05-12,1982-07-17,IA00548,INT,BIAL,Protest Action,NA,NA,Andrzej Wieczorek,40,M,Opposition,Journalist
Directorate for the Construction of Workers’ Villages Warsaw,214,1952-07-01,1955-12-31,IA00377,DCWVW,NA,Government Agency Regional or Local,NA,NA,Andrzej Wielowieyski,61,M,Opposition,Lawyer
PAN Institute of Philosophy and Sociology,215,1957-01-01,1984-09-30,IA01014,PAN,IPS,Research Institue,NA,NA,Zbigniew Wierzbicki,69,M,Opposition,Academic
Factory Committee Solidarność National Geologic Institute Warsaw,216,1980-09-01,1981-12-13,IA00414,FCNGIW,NA,Protest Action,NA,NA,Michał Wilczyński,40,M,Opposition,Academic
KIK Warsaw,221,1975-01-01,1976-12-31,IA00624,KIK,WAW,Salon,NA,NA,Irena Wóycicka,38,F,Opposition,Journalist
Scout Movement of the Republic Founding Committee,222,1987-01-01,1987-12-31,IA01154,SMR,FC,Scouting Organization,NA,NA,Wojciech Wróblewski,31,M,Opposition,Academic
Seminar on the History of the PRL,223,1974-09-01,1975-08-31,IA01160,SEMHPRL,NA,Salon,NA,NA,Henryk Wujec,48,M,Opposition,Worker
Polish Helsinki Committee,225,1982-10-01,1989-02-01,IA01057,PHC,NA,Opposition Group,NA,NA,Janina Zakrzewska,59,F,Opposition,Academic
Polish Radio Youth Editor,226,1956-07-01,1959-12-31,IA01067,RADP,YED,Government Agency National,NA,NA,Jan Zalewski,58,M,Opposition,Journalist
Warsaw Development Planning Office,227,1976-07-01,1979-06-30,IA01290,WDPO,NA,Government Agency Regional or Local,NA,NA,Zbigniew Zawistowski,44,M,Opposition,Architect
KOR Collaborator,228,1976-09-01,1977-09-01,IA00625,KOR,NA,Opposition Group,NA,NA,Jerzy Zdrada,52,M,Opposition,Academic
PAN Institute of Fundamental Technological Research,229,1965-01-01,1989-02-01,IA01005,PAN,IFTR,Research Institue,NA,NA,Andrzej Ziabicki,55,M,Opposition,Academic
Sejm Economic and Social Council,230,1985-11-06,1989-02-01,IA01156,SEJM,ESC,Government Agency Leadership Body National,NA,NA,Tadeusz Zieliński,62,M,Opposition,Lawyer
“Polish Western Affairs”,231,1956-01-01,1962-12-31,IA00103,PWA,NA,NA,NA,NA,Janusz Ziółkowski,64,M,Opposition,Academic
Society for Academic Courses,4,1978-01-01,1981-12-13,IA01192,TKN,NA,Independent Society,NA,NA,Stefan Amsterdamski,60,M,Opposition,Academic Philosophy
PZPR member,5,1978-01-01,1980-08-31,IA01113,PZPR,MEM,NA,NA,NA,Artur Balasz,37,M,Opposition,Agricultural Engineer
PZPR member,8,1956-01-01,1979-12-31,IA01113,PZPR,MEM,NA,NA,NA,Janusz Beksiak,59,M,Opposition,Academic Economics
KOR Collaborator,15,1976-09-01,1977-09-01,IA00625,KOR,NA,Opposition Group,NA,NA,Grzegorz Boguta,36,M,Opposition,Academic Biophysics
Citizens Committee,19,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Stefan Bratkowski,54,M,Opposition,Journalist
Citizens Committee,22,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Ryszard Bugaj,44,M,Opposition,Academic Economist
Ideological Declaration of Republic Clubs Freedom-Justice-Independence,23,1981-11-01,1981-11-30,IA00516,IDRC,NA,Protest Statement,NA,NA,Zbigniew Bujak,33,M,Opposition,Worker Electrician
PAN Institute of Economics,24,1982-01-01,1989-02-01,IA01002,PAN,IEC,Research Institue,NA,NA,Iwo Byczewski,40,M,Opposition,Academic Law
KOR Collaborator,25,1976-09-01,1977-09-01,IA00625,KOR,NA,Opposition Group,NA,NA,Andrzej Czeliński,38,M,Opposition,Academic Sociology
Citizens Committee,27,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Maria Chmiel,59,F,Opposition,Medical Doctor
NSZZ Solidarność National Commission Center for Socio-Union Studies,29,1980-09-01,1981-12-13,IA00905,NSZZS,KKCSUS,Opposition Group Leadership Body National,NA,NA,Jerzy Ciemniewski,49,M,Opposition,Lawyer
Citizens Committee,31,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Paweł Czartoryski,64,M,Opposition,Academic Economics and History of Science
NZS Intercollegiate Coordinating Commission Warsaw,32,1987-01-01,1989-02-01,IA00950,NZS,ICCWAW,Opposition Group Leadership Body Regional or Local,NA,NA,Piotr Czerwiec,25,M,Opposition,Academic Student
Primates Committee to Aid Neighbors,34,1982-01-01,1989-02-01,IA01098,PCAN,NA,Charitable or Humanitarian Organization,NA,NA,Piotr Dąbrowski,38,M,Opposition,Engineer Agriculture
Agricultural Foundation Organizing Committee,36,1982-01-01,1989-02-01,IA00207,AFOC,NA,Opposition Group,NA,NA,Jerzy Dietl,61,M,Opposition,Academic Economics
NSZZ Solidarność Member,37,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Jerzy Dłużniewski,43,M,Opposition,Worker Textiles
Sailing Club Aquarius LOK,38,1950-01-01,1956-12-31,IA01145,SCALOK,NA,Independent Society,NA,NA,Wladysław Dobrowolski,61,M,Opposition,Academic Economics
WiP,41,1986-01-01,1989-02-01,IA01373,WIP,NA,Opposition Group,NA,NA,Michał Downarowicz,33,M,Opposition,Academic
KOR Collaborator,42,1976-09-01,1977-09-01,IA00625,KOR,NA,Opposition Group,NA,NA,Roman Duda,53,M,Opposition,Academic Mathematics
Young Poland Movement – RMP Ruch Młodej Polski,43,1979-01-01,1989-02-01,IA01393,RMP,NA,NA,NA,NA,Jan Dworak,40,M,Opposition,Journalist
“Swiat”,44,1955-01-01,1967-12-31,IA00147,SWIAT,NA,Periodical,NA,NA,Kazimierz Dziewanowski,58,M,Opposition,Journalist
NSZZ Solidarność Member,45,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Marek Edelman,66,M,Opposition,Medical Doctor
“Tygodnik Solidarność”,46,1980-09-01,1981-12-13,IA00152,TYSOL,NA,Periodical,NA,NA,Lech Falandysz,46,M,Opposition,Lawyer
“Przekrój”,47,1969-01-01,1981-12-31,IA00121,PRZJ,NA,Periodical,NA,NA,Wanda Falkowska-Szymańska,65,F,Opposition,Journalist
Citizens Committee,49,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Władysław Findeisen,63,M,Opposition,Academic Electrical Engineer
NSZZ Solidarność Member,50,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Władysław Frasyniuk,34,M,Opposition,Worker Bus Mechanic
Andrzej Małkowski Circle of Scouting Instructors,51,1980-01-01,1981-12-31,IA00213,AMCS,NA,Salon,NA,NA,Marek Frąckowiak,31,M,Opposition,Worker Librarian
Letter in Defense of KOR,53,1977-05-12,1977-05-12,IA00657,LDKOR,NA,Protest Statement,NA,NA,Bronisław Geremek,56,M,Opposition,Academic Historian
NSZZ Solidarność University Extension Workers Mazowsze,54,1982-01-01,1989-02-01,IA00944,NSZZS,UEWM,Opposition Group Leadership Body Regional or Local,NA,NA,Grażyna Gęsicka,37,F,Opposition,Academic Sociologist
NSZZ Solidarność Executive Committee District Mining office in Katowice,57,1980-09-01,1981-12-31,IA00816,NSZZS,ECDMOK,NA,NA,NA,Andrzej Glapiński,44,M,Opposition,Worker Miner
Inter-factory Founding Committee Gdańsk,59,1980-08-01,1981-12-31,IA00569,MKZG,NA,Protest Action,NA,NA,Bogusław Kazimierz Gołąb,42,M,Opposition,Worker Mechanic
NSZZ Solidarność Committee for the Defense of Prisoners of Conscience,61,1980-12-01,1981-12-13,IA00810,NSZZS,KOWZP,Opposition Group Leadership Body National,NA,NA,Jan Andrzej Górny,33,M,Opposition,Worker Computer Systems
Citizens Committee,62,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Stanisława Grabska,66,F,Opposition,Academic Artist and Theologian
NSZZ Solidarność Mazowsze Regional Executive Commission,66,1986-01-01,1989-02-01,IA00881,NSZZS,MAREC,Opposition Group Leadership Body Regional or Local,NA,NA,Janusz Grzelak,47,M,Opposition,Academic Psychologist
NSZZ Solidarność Coordinating Committee Medical Academy Poznań,67,1982-01-01,1989-02-01,IA00813,NSZZS,CCMEDAP,Opposition Group Leadership Body Regional or Local,NA,NA,Anna Grzymisławska,41,F,Opposition,Lawyer
Factory Committee Solidarność Gdańsk University,68,1980-09-01,1981-12-31,IA00397,FCGU,NA,Protest Action,NA,NA,Jerzy Grzywacz,60,M,Opposition,Academic Physics
KSS-KOR Collaborator,69,1977-09-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Krzysztof Hagemejer,37,M,Opposition,Academic Economics
Young Poland Movement – RMP Ruch Młodej Polski,70,1979-07-01,1989-02-01,IA01393,RMP,NA,NA,NA,NA,Aleksander Hall,35,M,Opposition,Academic historian
Association for Scientific Authors,73,1984-01-01,1989-02-01,IA00229,ASA,NA,National Professional Association,NA,NA,Maciej Tadeusz Iłowiecki,53,M,Opposition,Journalist
Factory Committee Solidarność Radio and Television Committee,75,1980-09-01,1981-12-31,IA00416,FCRTC,NA,Protest Action,NA,NA,Janina Jankowska,49,F,Opposition,Journalist
NSZZ Solidarność Educational Experts Group,76,1980-09-01,1981-12-31,IA00818,NSZZS,EEG,Opposition Group Leadership Body National,NA,NA,Andrzej Janowski,53,M,Opposition,Academic Polonist
NSZZ Individual Farmers “Solidarity” Provincial Board Warsaw,77,1981-12-01,1981-12-31,IA00797,NSZZIF,PBWAW,Opposition Group Leadership Body Regional or Local,NA,NA,Gabriel Janowski,41,M,Opposition,Academic Agriculture
Government Commission on Economic Reform in Poland,82,1980-01-01,1989-02-01,IA00488,GCER,NA,Government Leadership Body National,NA,NA,Cezary Józefiak,56,M,Opposition,Academic Economics
PAN Committee “People and the Environment”,83,1979-01-01,1989-02-01,IA00993,PAN,CPAE,Research Institue,NA,NA,Stanisław Juchnowicz,65,M,Opposition,Academic Architect
NSZZ Solidarność Member,84,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Stefan Jurczak,50,M,Opposition,Worker Steel Mechanic
NSZZ Solidarność Member,85,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Mieczysław Kaczanowski,54,M,Opposition,Journalist
KSS-KOR Collaborator,86,1977-09-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Jarosław Kaczyński,39,M,Opposition,Lawyer
“Robotnik”,87,1978-01-01,1980-12-31,IA00126,ROBO,NA,Periodical,NA,NA,Lech Kaczyński,39,M,Opposition,Lawyer
PZPR POP Consultation and Negotiating Commission,89,1980-10-01,1981-12-31,IA01114,PZPE,POP,Communist Party Leadership Body National,NA,NA,Marian Kallas,50,M,Opposition,Academic Historian
NZS University Committee Warsaw University,90,1987-01-01,1989-02-01,IA00959,NZS,UCUW,Opposition Group Leadership Body Regional or Local,NA,NA,Mariusz Kamiński,23,M,Opposition,Student
Copper Mining and Smelting Plant Lubin ZG Cuprum,91,1979-01-01,1986-12-31,IA00354,CMSPL,ZGC,Factory,NA,NA,Henryk Karaś,40,M,Opposition,Worker Mining Engineer
Warsaw University Branch Office in Białystok,98,1974-01-01,1989-02-01,IA01318,UW,BOB,Postsecondary School,NA,NA,Jan Kofman,47,M,Opposition,Academic Historian
NSZZ Solidarność Łódź Regional Executive Committee,99,1984-01-01,1989-02-01,IA00871,NSZZS,LZREC,Opposition Group Leadership Body Regional or Local,NA,NA,Ryszard Kostrzewa,42,M,Opposition,Worker
PAN Institute of Economics,100,1986-01-01,1989-02-01,IA01002,PAN,IEC,Research Institue,NA,NA,Adam Tadeusz Kowalewski,48,M,Opposition,Academic Economist
State Council for Environmental Protection,102,1981-01-01,1987-12-31,IA01208,SCEP,NA,Government Agency Leadership Body National,NA,NA,Stefan Kozłowski,61,M,Opposition,Academic Geology
NSZZ Solidarność Founding Committee ZSO POLAM Gdańsk,103,1980-09-01,1981-12-31,IA00853,NSZZS,FCZSO,Opposition Group Leadership Body Regional or Local,NA,NA,Marek Krankowski,42,M,Opposition,Worker Administration
Letter Signed by 59,104,1975-12-05,1975-12-05,IA00666,LET59,NA,Protest Statement,NA,NA,Marcin Król,44,M,Opposition,Journalist
“Głosno”,105,1980-09-01,1989-02-01,IA00050,GLOSNO,NA,Periodical,NA,NA,Wiktor Krywulko,37,M,Opposition,Worker Mining Technician
State Clinical Hospital No. 4,106,1972-01-01,1989-02-01,IA01204,SCH4,NA,NA,NA,NA,Marek Kulerski,50,M,Opposition,Medical Doctor
KSS-KOR Collaborator,107,1977-09-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Wiktor Kulerski,44,M,Opposition,Academic Historian
Letter Signed by 101,110,1976-01-31,1976-01-31,IA00667,LET101,NA,Protest Statement,NA,NA,Władysław J.H. Kunicki-Goldfinger,72,M,Opposition,Academic Microbiologist
